0	0	11600
11600	2	0
0	0	11881
11881	2	0
0	0	11877
11877	2	0
0	0	11519
11519	2	0
0	1	11615
11615	3	0
1	0	12037
12037	2	1
1	0	11785
11785	2	1
1	0	11621
11621	2	1
1	1	12017
12017	3	1
2	0	11955
11955	2	2
2	1	12017
12017	3	2
3	0	12011
12011	2	3
3	0	11619
11619	2	3
3	1	12017
12017	3	3
4	0	12011
12011	2	4
4	0	11526
11526	2	4
4	0	11657
11657	2	4
4	0	11530
11530	2	4
4	1	11808
11808	3	4
5	0	12000
12000	2	5
5	0	11648
11648	2	5
5	0	11621
11621	2	5
5	1	11839
11839	3	5
6	0	11933
11933	2	6
6	0	11652
11652	2	6
6	0	11721
11721	2	6
6	0	11800
11800	2	6
6	0	11895
11895	2	6
6	0	11621
11621	2	6
6	1	12017
12017	3	6
7	0	11748
11748	2	7
7	0	11585
11585	2	7
7	1	12017
12017	3	7
8	0	11989
11989	2	8
8	0	12012
12012	2	8
8	0	11621
11621	2	8
8	0	12044
12044	2	8
8	0	11968
11968	2	8
8	0	11648
11648	2	8
8	0	11963
11963	2	8
8	1	11548
11548	3	8
9	0	11838
11838	2	9
9	0	11530
11530	2	9
9	1	11754
11754	3	9
10	0	11933
11933	2	10
10	0	11652
11652	2	10
10	0	11721
11721	2	10
10	0	11800
11800	2	10
10	0	11773
11773	2	10
10	0	11621
11621	2	10
10	1	11548
11548	3	10
11	0	11732
11732	2	11
11	0	11530
11530	2	11
11	1	12017
12017	3	11
12	0	12011
12011	2	12
12	0	11619
11619	2	12
12	1	11641
11641	3	12
13	0	11590
11590	2	13
13	0	11530
11530	2	13
13	1	11548
11548	3	13
14	0	11927
11927	2	14
14	0	11748
11748	2	14
14	0	11520
11520	2	14
14	1	11840
11840	3	14
15	0	11609
11609	2	15
15	0	11648
11648	2	15
15	0	11621
11621	2	15
15	1	12017
12017	3	15
16	0	11934
11934	2	16
16	0	11864
11864	2	16
16	1	11710
11710	3	16
17	0	11557
11557	2	17
17	0	11530
11530	2	17
17	1	12017
12017	3	17
18	0	11656
11656	2	18
18	0	11621
11621	2	18
18	0	11616
11616	2	18
18	1	11840
11840	3	18
19	0	12011
12011	2	19
19	0	11932
11932	2	19
19	0	11532
11532	2	19
19	1	11764
11764	3	19
20	0	11579
11579	2	20
20	0	11864
11864	2	20
20	1	11714
11714	3	20
21	0	11858
11858	2	21
21	0	11795
11795	2	21
21	0	11542
11542	2	21
21	1	11548
11548	3	21
22	0	11696
11696	2	22
22	0	11817
11817	2	22
22	0	12054
12054	2	22
22	0	11530
11530	2	22
22	1	12017
12017	3	22
23	0	11557
11557	2	23
23	0	11614
11614	2	23
23	0	11530
11530	2	23
23	1	11548
11548	3	23
24	0	11609
11609	2	24
24	0	11648
11648	2	24
24	0	11621
11621	2	24
24	0	12002
12002	2	24
24	1	11548
11548	3	24
25	0	11739
11739	2	25
25	0	11621
11621	2	25
25	1	11548
11548	3	25
26	0	12011
12011	2	26
26	0	11966
11966	2	26
26	0	11756
11756	2	26
26	0	11530
11530	2	26
26	1	11548
11548	3	26
27	0	11587
11587	2	27
27	0	11539
11539	2	27
27	0	12045
12045	2	27
27	0	11523
11523	2	27
27	1	11839
11839	3	27
28	0	11620
11620	2	28
28	0	11886
11886	2	28
28	0	11852
11852	2	28
28	1	11754
11754	3	28
29	0	11590
11590	2	29
29	0	11530
11530	2	29
29	1	11548
11548	3	29
30	0	11587
11587	2	30
30	0	11581
11581	2	30
30	0	11528
11528	2	30
30	0	11969
11969	2	30
30	0	11967
11967	2	30
30	1	11710
11710	3	30
31	0	11732
11732	2	31
31	0	11530
11530	2	31
31	1	11947
11947	3	31
32	0	11760
11760	2	32
32	0	12016
12016	2	32
32	0	11999
11999	2	32
32	0	11648
11648	2	32
32	0	11621
11621	2	32
32	1	12017
12017	3	32
33	0	12024
12024	2	33
33	0	11530
11530	2	33
33	0	11748
11748	2	33
33	0	11790
11790	2	33
33	1	12017
12017	3	33
34	0	11962
11962	2	34
34	0	11537
11537	2	34
34	1	12017
12017	3	34
35	0	11955
11955	2	35
35	1	11548
11548	3	35
36	0	12054
12054	2	36
36	0	11530
11530	2	36
36	1	12017
12017	3	36
37	0	11648
11648	2	37
37	0	11621
11621	2	37
37	0	12044
12044	2	37
37	0	11968
11968	2	37
37	1	12017
12017	3	37
38	0	11587
11587	2	38
38	0	11873
11873	2	38
38	1	11548
11548	3	38
39	0	11530
11530	2	39
39	1	11840
11840	3	39
40	0	11991
11991	2	40
40	0	11792
11792	2	40
40	1	11710
11710	3	40
41	0	11528
11528	2	41
41	0	11551
11551	2	41
41	1	11839
11839	3	41
42	0	11557
11557	2	42
42	0	11530
11530	2	42
42	1	12017
12017	3	42
43	0	11657
11657	2	43
43	0	11530
11530	2	43
43	1	11714
11714	3	43
44	0	12054
12054	2	44
44	0	11530
11530	2	44
44	1	12017
12017	3	44
45	0	11621
11621	2	45
45	0	11633
11633	2	45
45	1	11641
11641	3	45
46	0	11686
11686	2	46
46	0	11957
11957	2	46
46	0	11847
11847	2	46
46	1	11714
11714	3	46
47	0	11557
11557	2	47
47	0	11530
11530	2	47
47	1	11548
11548	3	47
48	0	12011
12011	2	48
48	0	11619
11619	2	48
48	1	11839
11839	3	48
49	0	11613
11613	2	49
49	0	11838
11838	2	49
49	0	11530
11530	2	49
49	1	11710
11710	3	49
50	0	11621
11621	2	50
50	0	11864
11864	2	50
50	0	11616
11616	2	50
50	0	11678
11678	2	50
50	0	11787
11787	2	50
50	0	12020
12020	2	50
50	1	12017
12017	3	50
51	0	12011
12011	2	51
51	0	11619
11619	2	51
51	1	12017
12017	3	51
52	0	12016
12016	2	52
52	0	11999
11999	2	52
52	0	11648
11648	2	52
52	0	11621
11621	2	52
52	0	11616
11616	2	52
52	0	11787
11787	2	52
52	1	12017
12017	3	52
53	0	11524
11524	2	53
53	0	12062
12062	2	53
53	1	11714
11714	3	53
54	0	12000
12000	2	54
54	0	11648
11648	2	54
54	0	11621
11621	2	54
54	0	11968
11968	2	54
54	1	12017
12017	3	54
55	0	11614
11614	2	55
55	0	11838
11838	2	55
55	0	11530
11530	2	55
55	1	12017
12017	3	55
56	0	11598
11598	2	56
56	0	11984
11984	2	56
56	0	11886
11886	2	56
56	0	11569
11569	2	56
56	0	11967
11967	2	56
56	0	11587
11587	2	56
56	1	11840
11840	3	56
57	0	11910
11910	2	57
57	0	11621
11621	2	57
57	1	11781
11781	3	57
58	0	12011
12011	2	58
58	0	11619
11619	2	58
58	1	11754
11754	3	58
59	0	11530
11530	2	59
59	1	12017
12017	3	59
60	0	11553
11553	2	60
60	0	11861
11861	2	60
60	0	11621
11621	2	60
60	0	11716
11716	2	60
60	0	12034
12034	2	60
60	1	11548
